Id,SalePrice
1461,121010.24
1462,145118.98
1463,172508.17
1464,189354.6
1465,194208.61
1466,173256.7
1467,173393.23
1468,164713.34
1469,185826.44
1470,119077.36
1471,195441.02
1472,91828.51
1473,94165.79
1474,152332.33
1475,124170.65
1476,370948.75
1477,230037.98
1478,274254.16
1479,254145.33
1480,512709.53
1481,321993.38
1482,197814.61
1483,149582.83
1484,160009.03
1485,164850.38
1486,192960.98
1487,352834.75
1488,235117.75
1489,198917.5
1490,208036.16
1491,189453.22
1492,88287.46
1493,170243.78
1494,316402.4
1495,311222.97
1496,231729.9
1497,181087.78
1498,155972.89
1499,154179.72
1500,137860.0
1501,174419.84
1502,131979.44
1503,266231.28
1504,238645.0
1505,224404.84
1506,187939.1
1507,255847.36
1508,205694.45
1509,165658.39
1510,145482.31
1511,142658.22
1512,168749.39
1513,136314.44
1514,168338.55
1515,205676.2
1516,150810.1
1517,158030.58
1518,137756.56
1519,213849.42
1520,132383.58
1521,134077.0
1522,178164.86
1523,110790.1
1524,126021.445
1525,127066.79
1526,111877.23
1527,102893.38
1528,131928.36
1529,151207.42
1530,166515.12
1531,103852.695
1532,98822.586
1533,145424.05
1534,123513.63
1535,149422.72
1536,108986.88
1537,75304.98
1538,147370.11
1539,192923.81
1540,77995.555
1541,141576.39
1542,139582.05
1543,225037.48
1544,79282.69
1545,106901.516
1546,129674.32
1547,132991.48
1548,139680.45
1549,117359.43
1550,144466.8
1551,119549.11
1552,131130.45
1553,145860.6
1554,111676.71
1555,155372.52
1556,80013.63
1557,112588.14
1558,90606.3
1559,68967.25
1560,134866.97
1561,133532.5
1562,130429.9
1563,121574.84
1564,146021.2
1565,149748.11
1566,219158.23
1567,75334.13
1568,227640.0
1569,120410.7
1570,133772.89
1571,126534.83
1572,147802.64
1573,227669.75
1574,116587.36
1575,222977.05
1576,219803.95
1577,184321.95
1578,140629.72
1579,146570.62
1580,196904.02
1581,137430.75
1582,127278.79
1583,336925.56
1584,226309.86
1585,141957.92
1586,70932.375
1587,95541.195
1588,145177.53
1589,97595.85
1590,135217.0
1591,95427.734
1592,117006.51
1593,131107.95
1594,111989.63
1595,112536.08
1596,242383.7
1597,188341.9
1598,198317.44
1599,176762.02
1600,179484.33
1601,66616.69
1602,109584.29
1603,82423.02
1604,240076.72
1605,248245.03
1606,169369.31
1607,156069.77
1608,203901.31
1609,182988.56
1610,137535.9
1611,130698.85
1612,160529.31
1613,156146.88
1614,118392.625
1615,84485.77
1616,72906.97
1617,91997.07
1618,125939.15
1619,133554.66
1620,162053.64
1621,138103.05
1622,139326.17
1623,276036.88
1624,204526.47
1625,121495.91
1626,165996.19
1627,184251.83
1628,258382.02
1629,181159.28
1630,335616.8
1631,220605.12
1632,238780.92
1633,164691.05
1634,182769.16
1635,181216.48
1636,156140.33
1637,200840.84
1638,190834.81
1639,181726.84
1640,258043.42
1641,179491.86
1642,219079.45
1643,229099.64
1644,218589.42
1645,192321.28
1646,157097.6
1647,166061.58
1648,130429.9
1649,132957.0
1650,111185.33
1651,123345.77
1652,95385.42
1653,91729.08
1654,154798.81
1655,153056.06
1656,145359.16
1657,156544.83
1658,143565.0
1659,129183.92
1660,147890.19
1661,448737.56
1662,425710.34
1663,404167.25
1664,217498.14
1665,266578.1
1666,288924.38
1667,337733.34
1668,318097.0
1669,286773.56
1670,363917.94
1671,238001.56
1672,453196.12
1673,296937.34
1674,247276.05
1675,176155.53
1676,175768.72
1677,205007.45
1678,451047.6
1679,358874.7
1680,322734.28
1681,251325.58
1682,275504.6
1683,169869.8
1684,169940.61
1685,168160.77
1686,161131.02
1687,161343.52
1688,190246.42
1689,193524.9
1690,194893.62
1691,177609.44
1692,267929.16
1693,153684.12
1694,184167.33
1695,164867.2
1696,298843.28
1697,169793.52
1698,373644.62
1699,327766.9
1700,237753.39
1701,275201.03
1702,243004.9
1703,248012.42
1704,287531.03
1705,224677.44
1706,374089.6
1707,205301.31
1708,192161.78
1709,261389.34
1710,216269.33
1711,238205.7
1712,239233.36
1713,269032.2
1714,221393.16
1715,203193.56
1716,191897.14
1717,175228.12
1718,140822.17
1719,193557.95
1720,245403.67
1721,157639.67
1722,121399.664
1723,149360.17
1724,204682.97
1725,235482.84
1726,176936.75
1727,150289.34
1728,177323.08
1729,159306.8
1730,165126.36
1731,123822.27
1732,132035.47
1733,116201.85
1734,116015.38
1735,131379.42
1736,114604.51
